run,launch_ordinal,kernel,metric,unit,value
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__cycles_elapsed.max,cycle,24284673
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__cycles_elapsed.min,cycle,24123901
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__cycles_elapsed.sum,cycle,4555801046
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,%,0.01
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_reads.max.pct_of_peak_sustained_elapsed,%,1.64
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_reads.min.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed,%,0.01
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,%,0.01
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_writes.max.pct_of_peak_sustained_elapsed,%,1.65
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_writes.min.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed,%,0.01
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0.31
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts.max.pct_of_peak_sustained_elapsed,%,58.59
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0.31
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,,16
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,%,0.00
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,,0
