q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,0,AB,A,4,stage.cleanup,1,0.00191679,0.001916479,0.1601698169903226
32,10,0,AB,A,4,stage.delivery,1,3.8998e-05,3.871e-05,0.003258730754536804
32,10,0,AB,A,4,stage.leaf_distance,1,0.003507623,0.003507204,0.2931021833278796
32,10,0,AB,A,4,stage.node_plan,4,9.5086e-05,9.3958e-05,0.007945527271293055
32,10,0,AB,A,4,stage.node_prune,4,5.2808e-05,5.1619e-05,0.004412714849109686
32,10,0,AB,A,4,stage.output_alloc,1,5.096e-06,4.792e-06,0.0004258293226606378
32,10,0,AB,A,4,stage.pivot_distance,2,0.000103511,0.000102952,0.008649532774318148
32,10,0,AB,A,4,stage.pivot_sort,2,0.000203704,0.000203032,0.017021808544596263
32,10,0,AB,A,4,stage.result_sort,1,0.003665042,0.003664778,0.30625634858374984
32,10,0,AB,A,4,stage.schedule,10,0.000122905,0.000120234,0.010270124195762498
32,10,0,AB,A,4,stage.threshold,2,2.0711e-05,2.0168e-05,0.001730641895923169
32,10,0,AB,A,5,stage.aggregate,1,2.0504e-05,2.0183e-05,0.0017234379662356108
32,10,0,AB,A,5,stage.alloc_init,1,0.002120244,0.002119936,0.17821444631697506
32,10,0,AB,A,5,stage.candidates,1,9.6922e-05,9.6617e-05,0.008146656972468197
32,10,0,AB,A,5,stage.cleanup,1,0.001888317,0.00188801,0.15872011364066183
32,10,0,AB,A,5,stage.delivery,1,3.9111e-05,3.8682e-05,0.0032874259801717216
32,10,0,AB,A,5,stage.leaf_distance,1,0.003510452,0.003510146,0.2950666336055274
32,10,0,AB,A,5,stage.node_plan,4,9.9728e-05,9.8571e-05,0.008382511778030873
32,10,0,AB,A,5,stage.node_prune,4,5.4143e-05,5.2923e-05,0.004550921859436924
32,10,0,AB,A,5,stage.output_alloc,1,4.632e-06,4.333e-06,0.0003893369420407408
32,10,0,AB,A,5,stage.pivot_distance,2,0.000102396,0.000101807,0.008606767166926533
32,10,0,AB,A,5,stage.pivot_sort,2,0.00020279,0.000202135,0.017045258738437357
32,10,0,AB,A,5,stage.result_sort,1,0.003607208,0.003606921,0.3031993376564976
32,10,0,AB,A,5,stage.schedule,10,0.000123315,0.000120618,0.010365087436907158
32,10,0,AB,A,5,stage.threshold,2,1.9997e-05,1.9457e-05,0.0016808227180459183
32,10,0,AB,A,6,stage.aggregate,1,2.1241e-05,2.0965e-05,0.0018027956615439351
32,10,0,AB,A,6,stage.alloc_init,1,0.002105071,0.002104696,0.17866451042992107
32,10,0,AB,A,6,stage.candidates,1,9.6944e-05,9.6662e-05,0.008227965849664105
32,10,0,AB,A,6,stage.cleanup,1,0.00182075,0.001820442,0.1545332235184841
32,10,0,AB,A,6,stage.delivery,1,3.9023e-05,3.8742e-05,0.003312014269593192
32,10,0,AB,A,6,stage.leaf_distance,1,0.003511105,0.00351076,0.297999381442739
32,10,0,AB,A,6,stage.node_plan,4,9.7662e-05,9.6486e-05,0.00828890494316199
32,10,0,AB,A,6,stage.node_prune,4,5.3037e-05,5.193e-05,0.004501429946862469
