variant,function,opcode,warp_instructions,thread_instructions,predicated_thread_instructions,stall_samples
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",I2F.F64,4932464,65533996,65533996,975
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BSSY.RECONVERGENT,6165580,73638418,73638418,164
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MOV.64,6165580,73638418,73638418,6420
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GE.OR,1233116,24662320,24662320,65
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BRA,33294132,268496288,195206412,5650
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GT.AND,1233116,8104550,8104550,1356
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",VIMNMX.U32,1233116,8104550,8104550,375
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IMAD.SHL.U32,1233116,8104550,8104550,196
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",SHF.R.S32.HI,1233116,8104550,8104550,1168
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BRX,1233116,8104550,8104550,167
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FADD,157838848,1037382400,1037382400,177173
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",F2F.F64.F32,160305080,1053591628,1053591628,32034
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",NOP,1192423172,8284161176,8284161176,487355
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",DADD,159071964,1062044720,1062044720,396570
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BSYNC.RECONVERGENT,7398952,73638418,73638418,4232
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FSEL,2466232,16209356,16209356,4486
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FMUL,157838848,1037382400,1037382400,35485
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",F2F.F32.F64,1233116,8104550,8104550,4229
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MUFU.RSQ,1233116,8104550,8104550,46
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",CALL.ABS.NOINC,128,128,128,0
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FMUL.FTZ,2466232,16209100,16209100,205
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FFMA,3699348,40871420,40871420,4801
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",DSETP.GT.AND,1233116,8104678,8104678,3865
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",DMUL,1233116,24662320,24662320,3019
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",DFMA,8631812,172636240,172636240,17108
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MUFU.RCP64H,1233116,24662320,24662320,347
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FSETP.GEU.AND,1233116,24662320,24662320,37
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FSETP.GT.AND,1233116,24662320,24662320,170
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDCU,1233116,24662320,24662320,41
