variant,metric,unit,value
A,l1tex__cycles_active.sum,cycle,6578640860
A,l1tex__cycles_elapsed.avg,cycle,34973447.90
A,l1tex__cycles_elapsed.max,cycle,35018441
A,l1tex__cycles_elapsed.min,cycle,34858278
A,l1tex__cycles_elapsed.sum,cycle,6575008206
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,,0
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.sum,,0
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,0
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts.sum,,0
A,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,0
A,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,%,0.35
A,l1tex__data_bank_reads.max.pct_of_peak_sustained_elapsed,%,0.36
A,l1tex__data_bank_reads.min.pct_of_peak_sustained_elapsed,%,0.35
A,l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed,%,0.35
A,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,%,0.29
A,l1tex__data_bank_writes.max.pct_of_peak_sustained_elapsed,%,0.30
A,l1tex__data_bank_writes.min.pct_of_peak_sustained_elapsed,%,0.29
A,l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed,%,0.29
A,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,%,20.16
A,l1tex__data_pipe_lsu_wavefronts.max.pct_of_peak_sustained_elapsed,%,20.29
A,l1tex__data_pipe_lsu_wavefronts.min.pct_of_peak_sustained_elapsed,%,20.02
A,l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed,%,20.16
A,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,,19729856
A,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,%,0.30
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum,,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,,0
A,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_tex_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_tex_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__f_wavefronts.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__f_wavefronts.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,%,10.80
A,l1tex__lsu_writeback_active.max.pct_of_peak_sustained_elapsed,%,10.88
A,l1tex__lsu_writeback_active.min.pct_of_peak_sustained_elapsed,%,10.73
A,l1tex__lsu_writeback_active.sum.pct_of_peak_sustained_elapsed,%,10.80
A,l1tex__lsu_writeback_active_mem_lgds.sum,cycle,690384976
A,l1tex__lsu_writeback_active_mem_lgds.sum.pct_of_peak_sustained_elapsed,%,10.50
A,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,%,12.64
A,l1tex__lsuin_requests.max.pct_of_peak_sustained_elapsed,%,12.68
A,l1tex__lsuin_requests.min.pct_of_peak_sustained_elapsed,%,12.57
A,l1tex__lsuin_requests.sum.pct_of_peak_sustained_elapsed,%,12.64
A,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,%,2.34
A,l1tex__m_l1tex2xbar_req_cycles_active.max.pct_of_peak_sustained_elapsed,%,2.35
A,l1tex__m_l1tex2xbar_req_cycles_active.min.pct_of_peak_sustained_elapsed,%,2.32
A,l1tex__m_l1tex2xbar_req_cycles_active.sum.pct_of_peak_sustained_elapsed,%,2.34
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_atom.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_ld.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_redas.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_st.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_red.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_st.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum,sector,18496740
A,l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum.pct_of_peak_sustained_elapsed,%,0.28
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st.sum,sector,0
A,l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,%,2.07
A,l1tex__m_xbar2l1tex_read_sectors.max.pct_of_peak_sustained_elapsed,%,2.09
A,l1tex__m_xbar2l1tex_read_sectors.min.pct_of_peak_sustained_elapsed,%,1.94
A,l1tex__m_xbar2l1tex_read_sectors.sum.pct_of_peak_sustained_elapsed,%,2.07
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_atom.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_ld.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_redas.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_st.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_red.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_st.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom.sum,sector,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld.sum,sector,136120121
