q,k,pair,order,variant,sample,wall_s,thread_cpu_s,process_cpu_s,residual_s
32,10,0,AB,A,0,0.010788454,0.010791038,0.010790066,1.0789000000000631e-05
32,10,0,AB,A,1,0.011049056,0.011050432,0.011063146,9.506999999998877e-06
32,10,0,AB,A,2,0.01106498,0.011066291,0.011088847,8.532999999999805e-06
32,10,0,AB,A,3,0.011165132,0.011166389,0.011165757,7.623000000000005e-06
32,10,0,AB,A,4,0.01080623,0.010807476,0.010806762,7.181000000000201e-06
32,10,0,AB,A,5,0.010711388,0.010673759,0.010672885,8.005999999999638e-06
32,10,0,AB,A,6,0.011486136,0.011487336,0.011486661,7.4899999999988864e-06
32,10,0,AB,A,7,0.010882094,0.010883251,0.01088259,6.891000000000189e-06
32,10,0,AB,B,0,0.010804774,0.010807471,0.010845124,1.0625000000000218e-05
32,10,0,AB,B,1,0.011105117,0.01110649,0.011105703,8.892999999999401e-06
32,10,0,AB,B,2,0.010746894,0.010748158,0.010747443,9.060999999999444e-06
32,10,0,AB,B,3,0.010986668,0.010988019,0.01098725,8.042999999999245e-06
32,10,0,AB,B,4,0.011720536,0.011660312,0.011659527,1.0608999999999966e-05
32,10,0,AB,B,5,0.012076628,0.012057692,0.012056809,1.3376000000000707e-05
32,10,0,AB,B,6,0.011649165,0.011641272,0.011640447,1.1463999999999225e-05
32,10,0,AB,B,7,0.01104733,0.011048615,0.011047928,8.070999999998385e-06
32,10,1,BA,B,0,0.010878288,0.010880833,0.010879664,1.0968999999999562e-05
32,10,1,BA,B,1,0.010729112,0.010730386,0.010729658,1.0013000000001424e-05
32,10,1,BA,B,2,0.011539701,0.011541131,0.011553746,8.443999999999813e-06
32,10,1,BA,B,3,0.010944186,0.010945586,0.010967114,7.638000000000783e-06
32,10,1,BA,B,4,0.010993183,0.010994453,0.01099377,7.833000000000492e-06
32,10,1,BA,B,5,0.010904273,0.010905433,0.010904796,7.434000000000607e-06
32,10,1,BA,B,6,0.010881361,0.010882712,0.01088195,7.321000000001104e-06
32,10,1,BA,B,7,0.010809425,0.010810676,0.010809997,6.87599999999941e-06
32,10,1,BA,A,0,0.011114919,0.011117684,0.011116603,1.1601999999999446e-05
32,10,1,BA,A,1,0.010737212,0.010738638,0.01078287,8.642999999999151e-06
32,10,1,BA,A,2,0.01099501,0.010996317,0.010995619,8.242999999999792e-06
32,10,1,BA,A,3,0.011036515,0.011037741,0.011037095,9.141000000000704e-06
32,10,1,BA,A,4,0.011068669,0.011069907,0.011069253,7.646999999999515e-06
32,10,1,BA,A,5,0.011177143,0.01117837,0.011177706,7.739000000001398e-06
32,10,1,BA,A,6,0.010875465,0.010832813,0.010832094,7.772000000001375e-06
32,10,1,BA,A,7,0.010892218,0.010893423,0.010892784,9.020999999999682e-06
32,10,2,AB,A,0,0.010719615,0.010722424,0.010734873,1.1159999999999642e-05
32,10,2,AB,A,1,0.011543038,0.011544314,0.011567294,9.14400000000086e-06
32,10,2,AB,A,2,0.010930031,0.01093129,0.010930613,7.791999999999522e-06
32,10,2,AB,A,3,0.010949511,0.01095072,0.010950034,7.816000000000767e-06
32,10,2,AB,A,4,0.010841412,0.010842574,0.010841954,7.3690000000001254e-06
32,10,2,AB,A,5,0.010768884,0.010770003,0.01076942,6.9709999999997135e-06
32,10,2,AB,A,6,0.011049795,0.011051069,0.011050335,8.35899999999945e-06
32,10,2,AB,A,7,0.011125623,0.011126783,0.01112614,7.356999999999503e-06
32,10,2,AB,B,0,0.011014377,0.011016771,0.011015823,1.073400000000009e-05
32,10,2,AB,B,1,0.011041809,0.011043233,0.011065053,8.961000000000038e-06
32,10,2,AB,B,2,0.011145252,0.01114653,0.011145845,8.819000000000188e-06
32,10,2,AB,B,3,0.011324383,0.011325674,0.011324919,8.382000000001222e-06
32,10,2,AB,B,4,0.011084861,0.011086215,0.011085409,7.652000000000353e-06
32,10,2,AB,B,5,0.010738092,0.010739458,0.010738658,7.430999999998716e-06
32,10,2,AB,B,6,0.01094193,0.010943293,0.010942508,8.399000000000947e-06
32,10,2,AB,B,7,0.011546334,0.011501671,0.011500984,7.91100000000107e-06
32,10,3,BA,B,0,0.011188841,0.011191723,0.011190383,1.0661999999999824e-05
32,10,3,BA,B,1,0.010764379,0.010765844,0.010801968,8.862000000000106e-06
32,10,3,BA,B,2,0.011084203,0.011085639,0.011084815,9.619000000000641e-06
32,10,3,BA,B,3,0.010807601,0.010808915,0.010808181,7.877999999999358e-06
32,10,3,BA,B,4,0.010961778,0.01096309,0.010962354,7.019999999999943e-06
32,10,3,BA,B,5,0.010964832,0.010966231,0.010965379,7.02900000000041e-06
32,10,3,BA,B,6,0.010936437,0.010937938,0.010937036,7.424000000000666e-06
32,10,3,BA,B,7,0.011577984,0.01157931,0.011578569,6.878000000000092e-06
32,10,3,BA,A,0,0.011212817,0.011215454,0.011228169,1.0503000000000248e-05
32,10,3,BA,A,1,0.010855927,0.010857222,0.010880195,8.276999999999243e-06
32,10,3,BA,A,2,0.010767315,0.010768569,0.010767897,9.076999999999696e-06
32,10,3,BA,A,3,0.011022658,0.011023818,0.011023198,7.956999999999409e-06
32,10,3,BA,A,4,0.011139999,0.01114117,0.011140527,7.75099999999855e-06
32,10,3,BA,A,5,0.010747859,0.010749088,0.010748388,7.204999999999712e-06
32,10,3,BA,A,6,0.010977911,0.010979239,0.010978497,7.699999999999374e-06
32,10,3,BA,A,7,0.010979482,0.010972534,0.010971912,7.196000000000979e-06
32,10,4,AB,A,0,0.011174011,0.011176585,0.011190388,1.0880999999999044e-05
32,10,4,AB,A,1,0.010842109,0.010843429,0.010865615,9.212000000001497e-06
32,10,4,AB,A,2,0.010716667,0.01071798,0.010717224,7.717999999998573e-06
32,10,4,AB,A,3,0.01150684,0.011508125,0.01150739,7.397000000001e-06
