run,range,count,inclusive_wall_ms,inclusive_main_thread_cpu_ms
timing_mixed16_2_D,operation.query,80,139.03737999999998,128.955548
timing_mixed16_2_D,operation.rebuild,16,80.24595199999999,76.69606
timing_mixed16_2_D,query.final_assembly,80,7.486916,6.894203
timing_mixed16_2_D,runtime.init,1,291.163458,273.846036
timing_mixed16_2_D,tree.leaf,80,27.752336999999997,27.720853
timing_mixed16_2_D,tree.query,80,124.395332,114.877921
timing_mixed16_2_D,tree.result_assembly,80,14.093929999999999,10.636317
timing_mixed16_2_D,tree.traverse,80,59.081624999999995,58.061306
timing_mixed16_2_D,update.total,1,238.81672700000001,217.723411
timing_query128_0_B,build.sort,2,0.313566,0.21166
timing_query128_0_B,build.total,1,13.859838,8.475915
timing_query128_0_B,input.load,1,33.809926999999995,33.809941
timing_query128_0_B,input.updates,1,0.08910900000000001,0.088813
timing_query128_0_B,main.total,1,609.060503,371.727196
timing_query128_0_B,operation.query,128,244.08835200000001,50.440343
timing_query128_0_B,query.final_assembly,128,14.873255,8.96893
timing_query128_0_B,runtime.init,1,313.795604,276.63962399999997
timing_query128_0_B,tree.leaf,128,47.021166,1.562201
timing_query128_0_B,tree.query,128,228.627309,40.821825
timing_query128_0_B,tree.result_assembly,128,29.40935,13.433646000000001
timing_query128_0_B,tree.traverse,128,109.449297,5.849518
timing_query128_0_B,update.total,1,244.519833,50.782171
timing_query128_0_D,build.sort,2,0.206631,0.204995
timing_query128_0_D,build.total,1,13.147348999999998,13.127251
timing_query128_0_D,input.load,1,33.843799000000004,33.843685
timing_query128_0_D,input.updates,1,0.08835000000000001,0.088
timing_query128_0_D,main.total,1,585.509498,533.333065
timing_query128_0_D,operation.query,128,212.082615,195.702201
timing_query128_0_D,query.final_assembly,128,12.630771000000001,10.069289
timing_query128_0_D,runtime.init,1,325.144163,289.33778
timing_query128_0_D,tree.leaf,128,43.498174,43.448248
timing_query128_0_D,tree.query,128,198.904744,185.043231
timing_query128_0_D,tree.result_assembly,128,22.526343,16.470192
timing_query128_0_D,tree.traverse,128,101.056458,99.727627
timing_query128_0_D,update.total,1,212.535855,196.186611
timing_query128_1_B,build.sort,2,0.32424800000000004,0.250747
timing_query128_1_B,build.total,1,16.172657,11.080248
timing_query128_1_B,input.load,1,43.545755,43.545113
timing_query128_1_B,input.updates,1,0.11563899999999999,0.11519800000000001
timing_query128_1_B,main.total,1,620.488398,401.054328
timing_query128_1_B,operation.query,128,254.46741699999998,58.769331
timing_query128_1_B,query.final_assembly,128,17.637432,10.745098
timing_query128_1_B,runtime.init,1,305.188794,286.612507
timing_query128_1_B,tree.leaf,128,47.540195,1.700831
timing_query128_1_B,tree.query,128,236.147539,47.267537999999995
timing_query128_1_B,tree.result_assembly,128,30.463265,15.428787
timing_query128_1_B,tree.traverse,128,111.10059799999999,6.610373
timing_query128_1_B,update.total,1,254.95341100000002,59.187962
timing_query128_1_D,build.sort,2,0.21113600000000002,0.209321
timing_query128_1_D,build.total,1,13.196577,13.176439
timing_query128_1_D,input.load,1,33.974132,33.943114
timing_query128_1_D,input.updates,1,0.088489,0.08817799999999999
timing_query128_1_D,main.total,1,572.837612,524.095917
timing_query128_1_D,operation.query,128,209.710788,194.70348900000002
timing_query128_1_D,query.final_assembly,128,13.099773,10.459935999999999
timing_query128_1_D,runtime.init,1,315.039785,281.325039
timing_query128_1_D,tree.leaf,128,43.398178,43.347732
timing_query128_1_D,tree.query,128,196.124745,183.712907
timing_query128_1_D,tree.result_assembly,128,19.322495,15.087551
timing_query128_1_D,tree.traverse,128,100.748205,99.61037
timing_query128_1_D,update.total,1,210.109974,195.13361500000002
timing_query128_2_B,build.sort,2,0.31832,0.245448
timing_query128_2_B,build.total,1,16.204667,10.409916
timing_query128_2_B,input.load,1,43.565309000000006,43.565295
timing_query128_2_B,input.updates,1,0.113185,0.112788
timing_query128_2_B,main.total,1,617.497776,389.11161500000003
timing_query128_2_B,operation.query,128,257.32675900000004,58.700306
timing_query128_2_B,query.final_assembly,128,17.832071000000003,10.727110999999999
timing_query128_2_B,runtime.init,1,299.258023,275.38583700000004
timing_query128_2_B,tree.leaf,128,47.534805999999996,1.677649
timing_query128_2_B,tree.query,128,238.803439,47.203641
timing_query128_2_B,tree.result_assembly,128,31.731755,15.467691
timing_query128_2_B,tree.traverse,128,111.358706,6.562495
timing_query128_2_B,update.total,1,257.83728099999996,59.117646
timing_query128_2_D,build.sort,2,0.20916500000000002,0.207383
timing_query128_2_D,build.total,1,13.198734,13.178969
timing_query128_2_D,input.load,1,33.829871999999995,33.829798000000004
timing_query128_2_D,input.updates,1,0.091169,0.09069200000000001
timing_query128_2_D,main.total,1,582.532847,529.9299659999999
timing_query128_2_D,operation.query,128,211.80581,194.501527
timing_query128_2_D,query.final_assembly,128,13.457528,10.10073
timing_query128_2_D,runtime.init,1,320.974403,285.66344100000003
timing_query128_2_D,tree.leaf,128,43.4318,43.382433999999996
timing_query128_2_D,tree.query,128,197.848196,183.85743
timing_query128_2_D,tree.result_assembly,128,22.903487,16.426403
timing_query128_2_D,tree.traverse,128,100.340393,98.76284000000001
timing_query128_2_D,update.total,1,212.218772,194.946471
