case,pair,order,policy,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
n65536_q32_r300,0,DB,D,6,stage.leaf_distance,1,0.123576399,0.123524054,0.855277092314218
n65536_q32_r300,0,DB,D,6,stage.node_distance_prune,4,0.010569415,0.010568457,0.0731513347355451
n65536_q32_r300,0,DB,D,6,stage.schedule,10,0.000251107,0.00024819,0.0017379213713756645
n65536_q32_r300,0,DB,D,7,stage.aggregate,1,0.008477481,0.008370009,0.05596481386727951
n65536_q32_r300,0,DB,D,7,stage.alloc_init,1,0.000576235,0.000575934,0.0038040644996800116
n65536_q32_r300,0,DB,D,7,stage.candidates,1,0.000147571,0.000147261,0.0009742025428553957
n65536_q32_r300,0,DB,D,7,stage.cleanup,1,0.000283483,0.000283148,0.0018714372028127218
n65536_q32_r300,0,DB,D,7,stage.delivery,1,2.6175e-05,2.5899e-05,0.00017279649497014985
n65536_q32_r300,0,DB,D,7,stage.leaf_distance,1,0.12556782,0.124971456,0.828946673430475
n65536_q32_r300,0,DB,D,7,stage.node_distance_prune,4,0.011119015,0.011118079,0.07340312586515839
n65536_q32_r300,0,DB,D,7,stage.schedule,10,0.005273724,0.002523741,0.03481493878280644
n65536_q32_r300,0,DB,B,0,stage.aggregate,1,0.008770318,3.0424e-05,0.0559564127472253
n65536_q32_r300,0,DB,B,0,stage.alloc_init,1,0.000617997,0.000572482,0.003942946562319291
n65536_q32_r300,0,DB,B,0,stage.candidates,1,0.000431252,0.000191113,0.002751475477863677
n65536_q32_r300,0,DB,B,0,stage.cleanup,1,0.000734627,0.00073355,0.004687069685187685
n65536_q32_r300,0,DB,B,0,stage.delivery,1,8.8673e-05,6.5304e-05,0.0005657517763363551
n65536_q32_r300,0,DB,B,0,stage.leaf_distance,1,0.12919786,3.0457e-05,0.8243086260062896
n65536_q32_r300,0,DB,B,0,stage.node_distance_prune,4,0.011962157,6.7748e-05,0.07632099479621039
n65536_q32_r300,0,DB,B,0,stage.schedule,10,0.004905736,0.000595628,0.03129959352043131
n65536_q32_r300,0,DB,B,1,stage.aggregate,1,0.008761248,2.9092e-05,0.05789296990431827
n65536_q32_r300,0,DB,B,1,stage.alloc_init,1,0.000585331,0.000482299,0.003867776596104176
n65536_q32_r300,0,DB,B,1,stage.candidates,1,0.000281805,0.000132027,0.001862123796048966
n65536_q32_r300,0,DB,B,1,stage.cleanup,1,0.00071006,0.000708948,0.004691966510965131
n65536_q32_r300,0,DB,B,1,stage.delivery,1,8.9547e-05,6.6458e-05,0.0005917127075985052
n65536_q32_r300,0,DB,B,1,stage.leaf_distance,1,0.129205861,2.4927e-05,0.8537723190046133
n65536_q32_r300,0,DB,B,1,stage.node_distance_prune,4,0.011069304,7.6109e-05,0.07314424649704585
n65536_q32_r300,0,DB,B,1,stage.schedule,10,0.000608442,0.000400866,0.004020490504837122
n65536_q32_r300,0,DB,B,2,stage.aggregate,1,0.008763538,3.024e-05,0.05625129117929211
n65536_q32_r300,0,DB,B,2,stage.alloc_init,1,0.00061326,0.000507534,0.003936385832823762
n65536_q32_r300,0,DB,B,2,stage.candidates,1,0.000373529,0.000213848,0.002397603404345346
n65536_q32_r300,0,DB,B,2,stage.cleanup,1,0.000794542,0.000792872,0.00509999653064517
n65536_q32_r300,0,DB,B,2,stage.delivery,1,9.3165e-05,6.8898e-05,0.0005980063694273649
n65536_q32_r300,0,DB,B,2,stage.leaf_distance,1,0.129263017,3.6398e-05,0.8297118821166505
n65536_q32_r300,0,DB,B,2,stage.node_distance_prune,4,0.011471357,7.2147e-05,0.07363220685853258
n65536_q32_r300,0,DB,B,2,stage.schedule,10,0.004398487,0.000500086,0.028232954884811486
n65536_q32_r300,0,DB,B,3,stage.aggregate,1,0.00876107,3.2312e-05,0.05782218979852463
n65536_q32_r300,0,DB,B,3,stage.alloc_init,1,0.000602514,0.00049546,0.003976532417189712
n65536_q32_r300,0,DB,B,3,stage.candidates,1,0.000396907,0.000120389,0.0026195466862338752
n65536_q32_r300,0,DB,B,3,stage.cleanup,1,0.000753428,0.000752184,0.004972549793064412
n65536_q32_r300,0,DB,B,3,stage.delivery,1,8.9452e-05,6.5224e-05,0.0005903742946760642
n65536_q32_r300,0,DB,B,3,stage.leaf_distance,1,0.12921238,2.2403e-05,0.8527888443625138
n65536_q32_r300,0,DB,B,3,stage.node_distance_prune,4,0.01105611,8.5977e-05,0.07296922531761145
n65536_q32_r300,0,DB,B,3,stage.schedule,10,0.000625827,0.000437298,0.004130395896282221
n65536_q32_r300,0,DB,B,4,stage.aggregate,1,0.008770082,3.1425e-05,0.05620413906096732
n65536_q32_r300,0,DB,B,4,stage.alloc_init,1,0.000580104,0.00053526,0.0037176671650075094
n65536_q32_r300,0,DB,B,4,stage.candidates,1,0.000438927,0.000141532,0.0028129171592253303
n65536_q32_r300,0,DB,B,4,stage.cleanup,1,0.000781899,0.000780753,0.00501089500960553
n65536_q32_r300,0,DB,B,4,stage.delivery,1,9.2882e-05,6.886e-05,0.0005952456139247919
n65536_q32_r300,0,DB,B,4,stage.leaf_distance,1,0.12920494,2.9326e-05,0.828025600572941
n65536_q32_r300,0,DB,B,4,stage.node_distance_prune,4,0.011486056,7.2865e-05,0.0736097893595588
n65536_q32_r300,0,DB,B,4,stage.schedule,10,0.004664922,0.000549945,0.029895721020232857
n65536_q32_r300,0,DB,B,5,stage.aggregate,1,0.008776134,5.084e-05,0.05745044462567708
n65536_q32_r300,0,DB,B,5,stage.alloc_init,1,0.00059285,0.000499283,0.003880922521959289
n65536_q32_r300,0,DB,B,5,stage.candidates,1,0.000532879,0.000160251,0.003488339567477682
n65536_q32_r300,0,DB,B,5,stage.cleanup,1,0.000787037,0.000785904,0.005152112033255078
n65536_q32_r300,0,DB,B,5,stage.delivery,1,0.000135953,0.000112126,0.000889977329219754
n65536_q32_r300,0,DB,B,5,stage.leaf_distance,1,0.129219594,3.863e-05,0.8458990176824414
n65536_q32_r300,0,DB,B,5,stage.node_distance_prune,4,0.011489604,6.823e-05,0.07521339787803581
n65536_q32_r300,0,DB,B,5,stage.schedule,10,0.001202793,0.000426782,0.00787373946690559
n65536_q32_r300,0,DB,B,6,stage.aggregate,1,0.0085294,2.9656e-05,0.05549434807560137
n65536_q32_r300,0,DB,B,6,stage.alloc_init,1,0.000583069,0.000559433,0.0037935885335536866
n65536_q32_r300,0,DB,B,6,stage.candidates,1,0.000451025,0.000186215,0.002934478197856603
n65536_q32_r300,0,DB,B,6,stage.cleanup,1,0.000800981,0.000799921,0.005211376933423601
n65536_q32_r300,0,DB,B,6,stage.delivery,1,9.7443e-05,7.3613e-05,0.0006339878255833733
n65536_q32_r300,0,DB,B,6,stage.leaf_distance,1,0.127962882,2.8952e-05,0.8325575907408617
n65536_q32_r300,0,DB,B,6,stage.node_distance_prune,4,0.01144515,8.145e-05,0.07446492577173881
n65536_q32_r300,0,DB,B,6,stage.schedule,10,0.00380322,0.000574188,0.024744673070566353
n65536_q32_r300,0,DB,B,7,stage.aggregate,1,0.008529856,3.2164e-05,0.0574633364755912
n65536_q32_r300,0,DB,B,7,stage.alloc_init,1,0.001355953,0.000549469,0.009134689200390641
n65536_q32_r300,0,DB,B,7,stage.candidates,1,0.000252643,0.00011376,0.001701987667459191
n65536_q32_r300,0,DB,B,7,stage.cleanup,1,0.000788592,0.000787385,0.005312531353162282
n65536_q32_r300,0,DB,B,7,stage.delivery,1,9.0635e-05,6.7894e-05,0.0006105835199873489
n65536_q32_r300,0,DB,B,7,stage.leaf_distance,1,0.127345802,2.967e-05,0.8578942797017928
n65536_q32_r300,0,DB,B,7,stage.node_distance_prune,4,0.009548776,7.13e-05,0.06432752536713983
n65536_q32_r300,0,DB,B,7,stage.schedule,10,0.000506796,0.000304668,0.0034141477971590278
n65536_q32_r300,1,BD,B,0,stage.aggregate,1,0.0087624,2.6451e-05,0.056514409916847114
n65536_q32_r300,1,BD,B,0,stage.alloc_init,1,0.00063269,0.000595916,0.00408062882432781
n65536_q32_r300,1,BD,B,0,stage.candidates,1,0.000473782,0.000129927,0.003055727900943082
n65536_q32_r300,1,BD,B,0,stage.cleanup,1,0.000675654,0.000674488,0.004357731571025909
n65536_q32_r300,1,BD,B,0,stage.delivery,1,7.5375e-05,5.5507e-05,0.0004861423408520898
n65536_q32_r300,1,BD,B,0,stage.leaf_distance,1,0.12911782,2.4531e-05,0.832764699973715
n65536_q32_r300,1,BD,B,0,stage.node_distance_prune,4,0.011141092,7.9953e-05,0.071856139894242
n65536_q32_r300,1,BD,B,0,stage.schedule,10,0.004142528,0.000567333,0.026717854181961206
n65536_q32_r300,1,BD,B,1,stage.aggregate,1,0.008760414,2.6742e-05,0.05788034741895581
n65536_q32_r300,1,BD,B,1,stage.alloc_init,1,0.000602594,0.000496341,0.0039813586518374884
n65536_q32_r300,1,BD,B,1,stage.candidates,1,0.00028166,0.000124577,0.0018609370121118812
n65536_q32_r300,1,BD,B,1,stage.cleanup,1,0.000748841,0.000747564,0.004947617457526356
n65536_q32_r300,1,BD,B,1,stage.delivery,1,8.1248e-05,5.9507e-05,0.0005368082452604777
n65536_q32_r300,1,BD,B,1,stage.leaf_distance,1,0.129141813,2.4522e-05,0.8532442647977395
n65536_q32_r300,1,BD,B,1,stage.node_distance_prune,4,0.011151918,6.8043e-05,0.07368109409300827
n65536_q32_r300,1,BD,B,1,stage.schedule,10,0.000567316,0.00032433,0.003748275729472641
n65536_q32_r300,1,BD,B,2,stage.aggregate,1,0.008757767,2.7065e-05,0.05622126371340541
n65536_q32_r300,1,BD,B,2,stage.alloc_init,1,0.000586952,0.000484688,0.003767990536755629
n65536_q32_r300,1,BD,B,2,stage.candidates,1,0.000300347,0.000132579,0.0019281042636245264
n65536_q32_r300,1,BD,B,2,stage.cleanup,1,0.000725461,0.000724502,0.004657161373988462
n65536_q32_r300,1,BD,B,2,stage.delivery,1,0.00014057,0.000102395,0.0009024016099301795
n65536_q32_r300,1,BD,B,2,stage.leaf_distance,1,0.1291717,2.6801e-05,0.8292292099126285
n65536_q32_r300,1,BD,B,2,stage.node_distance_prune,4,0.011485542,7.4285e-05,0.0737324577912833
n65536_q32_r300,1,BD,B,2,stage.schedule,10,0.004585195,0.000451777,0.029435066869487162
n65536_q32_r300,1,BD,B,3,stage.aggregate,1,0.008760853,2.6527e-05,0.057442430339852794
n65536_q32_r300,1,BD,B,3,stage.alloc_init,1,0.000572092,0.000467481,0.003751045116039164
n65536_q32_r300,1,BD,B,3,stage.candidates,1,0.000574498,0.000146251,0.003766820576191011
n65536_q32_r300,1,BD,B,3,stage.cleanup,1,0.000758535,0.000757531,0.004973499030041964
n65536_q32_r300,1,BD,B,3,stage.delivery,1,7.96e-05,5.8105e-05,0.0005219146417651662
n65536_q32_r300,1,BD,B,3,stage.leaf_distance,1,0.129195466,2.7789e-05,0.8470980572245442
n65536_q32_r300,1,BD,B,3,stage.node_distance_prune,4,0.011274826,7.3364e-05,0.07392583885370078
n65536_q32_r300,1,BD,B,3,stage.schedule,10,0.001280734,0.000402898,0.008397409884503371
n65536_q32_r300,1,BD,B,4,stage.aggregate,1,0.008765248,2.9046e-05,0.05652559065184885
n65536_q32_r300,1,BD,B,4,stage.alloc_init,1,0.000584566,0.000544538,0.003769766517158291
n65536_q32_r300,1,BD,B,4,stage.candidates,1,0.000453882,0.00014793,0.0029270076712310323
n65536_q32_r300,1,BD,B,4,stage.cleanup,1,0.000719027,0.000717795,0.004636882592440844
n65536_q32_r300,1,BD,B,4,stage.delivery,1,7.7658e-05,5.5351e-05,0.0005008032081740617
n65536_q32_r300,1,BD,B,4,stage.leaf_distance,1,0.129175252,2.6085e-05,0.8330291871834566
n65536_q32_r300,1,BD,B,4,stage.node_distance_prune,4,0.011458263,6.5062e-05,0.0738923854657878
n65536_q32_r300,1,BD,B,4,stage.schedule,10,0.003815448,0.000480077,0.024605173955307983
n65536_q32_r300,1,BD,B,5,stage.aggregate,1,0.008761612,2.8556e-05,0.057678951126668515
n65536_q32_r300,1,BD,B,5,stage.alloc_init,1,0.000612165,0.000496708,0.004029970183164586
n65536_q32_r300,1,BD,B,5,stage.candidates,1,0.000382363,0.000120441,0.002517150587089037
n65536_q32_r300,1,BD,B,5,stage.cleanup,1,0.000717123,0.000715731,0.004720923783067534
n65536_q32_r300,1,BD,B,5,stage.delivery,1,7.8032e-05,5.3592e-05,0.0005136958717546722
n65536_q32_r300,1,BD,B,5,stage.leaf_distance,1,0.129182426,2.5816e-05,0.8504264781045395
n65536_q32_r300,1,BD,B,5,stage.node_distance_prune,4,0.011491501,8.2127e-05,0.075650202788147
n65536_q32_r300,1,BD,B,5,stage.schedule,10,0.00066137,0.000408475,0.004353893770535006
n65536_q32_r300,1,BD,B,6,stage.aggregate,1,0.008766544,3.0699e-05,0.05631532523258806
n65536_q32_r300,1,BD,B,6,stage.alloc_init,1,0.00060353,0.00056226,0.003877011081861207
n65536_q32_r300,1,BD,B,6,stage.candidates,1,0.000252487,0.000146222,0.00162194902826022
n65536_q32_r300,1,BD,B,6,stage.cleanup,1,0.000775806,0.000774607,0.004983693369632686
n65536_q32_r300,1,BD,B,6,stage.delivery,1,7.7961e-05,5.5193e-05,0.0005008129851920892
n65536_q32_r300,1,BD,B,6,stage.leaf_distance,1,0.129150568,2.7528e-05,0.8296492027979874
n65536_q32_r300,1,BD,B,6,stage.node_distance_prune,4,0.011485606,8.7079e-05,0.07378228380344237
n65536_q32_r300,1,BD,B,6,stage.schedule,10,0.00453881,0.000469822,0.029156821812440913
n65536_q32_r300,1,BD,B,7,stage.aggregate,1,0.008755575,2.7676e-05,0.05786399982187914
n65536_q32_r300,1,BD,B,7,stage.alloc_init,1,0.00059983,0.000489615,0.003964167174989394
