variant,function,opcode,warp_instructions,thread_instructions,predicated_thread_instructions,stall_samples
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",I2F.F64,4932464,65533996,65533996,976
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BSSY.RECONVERGENT,6165580,73638418,73638418,179
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MOV.64,6165580,73638418,73638418,6548
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GE.OR,1233116,24662320,24662320,86
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BRA,33294132,268496288,195206412,5846
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GT.AND,1233116,8104550,8104550,1368
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",VIMNMX.U32,1233116,8104550,8104550,376
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IMAD.SHL.U32,1233116,8104550,8104550,182
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",SHF.R.S32.HI,1233116,8104550,8104550,1152
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BRX,1233116,8104550,8104550,140
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FADD,157838848,1037382400,1037382400,176999
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",F2F.F64.F32,160305080,1053591628,1053591628,32052
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",NOP,1192423172,8284161176,8284161176,487180
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",DADD,159071964,1062044720,1062044720,396314
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BSYNC.RECONVERGENT,7398952,73638418,73638418,4107
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FSEL,2466232,16209356,16209356,4414
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FMUL,157838848,1037382400,1037382400,35425
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",F2F.F32.F64,1233116,8104550,8104550,4206
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MUFU.RSQ,1233116,8104550,8104550,37
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",CALL.ABS.NOINC,128,128,128,0
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FMUL.FTZ,2466232,16209100,16209100,203
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FFMA,3699348,40871420,40871420,4779
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",DSETP.GT.AND,1233116,8104678,8104678,3825
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",DMUL,1233116,24662320,24662320,2973
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",DFMA,8631812,172636240,172636240,17281
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MUFU.RCP64H,1233116,24662320,24662320,342
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FSETP.GEU.AND,1233116,24662320,24662320,32
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",FSETP.GT.AND,1233116,24662320,24662320,158
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDCU,1233116,24662320,24662320,34
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",SEL,2466232,49324640,49324640,337
A,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",STG.E.64,3699348,73986960,73986960,3622
B,__cuda_sm20_div_rn_f64_full,MOV,1664,1664,1408,0
B,__cuda_sm20_div_rn_f64_full,FSETP.GEU.AND,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,LOP3.LUT,1536,1536,1280,0
B,__cuda_sm20_div_rn_f64_full,BSSY.RECONVERGENT,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,ISETP.GE.U32.AND,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,DMUL,256,256,128,0
B,__cuda_sm20_div_rn_f64_full,MUFU.RCP64H,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,SEL,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,IADD,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,NOP,4352,4352,4352,2
B,__cuda_sm20_div_rn_f64_full,DFMA,1024,1024,1024,3
B,__cuda_sm20_div_rn_f64_full,ISETP.GT.U32.AND,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,ISETP.GT.U32.OR,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,BRA,640,640,256,0
B,__cuda_sm20_div_rn_f64_full,DSETP.NAN.AND,256,256,256,1
B,__cuda_sm20_div_rn_f64_full,ISETP.NE.AND,256,256,256,0
B,__cuda_sm20_div_rn_f64_full,MOV.64,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,ISETP.EQ.OR,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,BSYNC.RECONVERGENT,128,128,128,0
B,__cuda_sm20_div_rn_f64_full,RET.ABS.NODEC,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,MOV,256,256,256,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,LOP3.LUT,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,BSSY.RECONVERGENT,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,BRA,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,BSYNC.RECONVERGENT,128,128,128,0
B,__cuda_sm20_sqrt_rn_f32_slowpath,RET.ABS.NODEC,128,128,128,0
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDC,83851888,1918728496,1918728496,3617
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDCU.64,27834406,890700992,890700992,606
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDC.64,180392504,3992251270,3992251270,7517
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IADD,329778004,7243523430,5980812646,59811
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LDG.E,304418600,7961086342,7961086342,18098
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.NE.AND,96888902,3100444864,3100444864,6843
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",BRA,175111498,4336542012,2011782156,18602
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",UMOV,162423026,3165982956,3165982956,14325
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MOV,258615996,5992889170,5992889170,12784
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",HFMA2,52496726,915363312,915363312,577
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IMAD.WIDE,205054824,4016913590,4016913590,126636
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",S2UR,19729856,631355392,631355392,130
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IMAD,234997894,2932741088,2932741088,69768
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IABS,59189568,1894066176,1894066176,1698
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",I2F.RP,19729856,631355392,631355392,387
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",MUFU.RCP,19729856,631355392,631355392,2581
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",LOP3.LUT,88435682,2829941824,2198586432,8423
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",F2I.FTZ.U32.TRUNC.NTZ,19729856,631355392,631355392,254
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",IMAD.HI.U32,39459712,1262710784,1262710784,2532
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GT.U32.AND,27834534,639460070,639460070,1363
B,"dataProcessKnn(TN *, float *, float *, int *, int *, char *, int *, double *, int, int *, int, int *, int)",ISETP.GE.AND,72226710,2311254720,2311254720,1427
