q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,0,AB,A,0,stage.aggregate,1,1.4841e-05,1.4567e-05,0.0013608192973914193
32,10,0,AB,A,0,stage.alloc_init,1,0.00211923,0.002118819,0.19431905394588084
32,10,0,AB,A,0,stage.candidates,1,0.000158729,0.000158449,0.01455437546362392
32,10,0,AB,A,0,stage.cleanup,1,0.001531454,0.001531165,0.14042397117898245
32,10,0,AB,A,0,stage.delivery,1,4.229e-05,4.2006e-05,0.003877706898907292
32,10,0,AB,A,0,stage.leaf_distance,1,0.003537061,0.003536685,0.3243245647092912
32,10,0,AB,A,0,stage.node_plan,4,0.000102785,0.000101631,0.009424689137010783
32,10,0,AB,A,0,stage.node_prune,4,7.9893e-05,7.8791e-05,0.0073256476063939535
32,10,0,AB,A,0,stage.output_alloc,1,5.472e-06,5.167e-06,0.0005017453807240649
32,10,0,AB,A,0,stage.pivot_distance,2,0.000110165,0.0001096,0.010101385209697843
32,10,0,AB,A,0,stage.pivot_sort,2,0.00020715,0.000206542,0.018994253584976247
32,10,0,AB,A,0,stage.result_sort,1,0.002832568,0.002832147,0.259727322658407
32,10,0,AB,A,0,stage.schedule,10,0.000132678,0.000129846,0.012165675004332507
32,10,0,AB,A,0,stage.threshold,2,2.0915e-05,2.0365e-05,0.0019177640054539135
32,10,0,AB,A,1,stage.aggregate,1,1.7105e-05,1.6818e-05,0.0015686961434194548
32,10,0,AB,A,1,stage.alloc_init,1,0.002109282,0.00210887,0.1934418321417173
32,10,0,AB,A,1,stage.candidates,1,0.000160996,0.00016072,0.014764911096519062
32,10,0,AB,A,1,stage.cleanup,1,0.001540347,0.001539927,0.14126491659910712
32,10,0,AB,A,1,stage.delivery,1,4.2618e-05,4.2319e-05,0.003908488292326824
32,10,0,AB,A,1,stage.leaf_distance,1,0.00353334,0.003532946,0.32404190771059316
32,10,0,AB,A,1,stage.node_plan,4,0.000103523,0.000102365,0.009494073712669525
32,10,0,AB,A,1,stage.node_prune,4,7.9477e-05,7.8381e-05,0.007288819841598832
32,10,0,AB,A,1,stage.output_alloc,1,4.722e-06,4.434e-06,0.0004330536795806294
32,10,0,AB,A,1,stage.pivot_distance,2,0.000119903,0.000119203,0.010996280250477808
32,10,0,AB,A,1,stage.pivot_sort,2,0.000206519,0.00020591,0.018939816360294792
32,10,0,AB,A,1,stage.result_sort,1,0.002823242,0.002822944,0.25891896155158306
32,10,0,AB,A,1,stage.schedule,10,0.000132176,0.000129456,0.012121834636223901
32,10,0,AB,A,1,stage.threshold,2,2.1882e-05,2.1345e-05,0.002006793862046449
32,10,0,AB,A,2,stage.aggregate,1,1.6923e-05,1.6659e-05,0.0015611174290924468
32,10,0,AB,A,2,stage.alloc_init,1,0.002104325,0.002103897,0.19412033528186276
32,10,0,AB,A,2,stage.candidates,1,0.000156282,0.000155986,0.014416743724719362
32,10,0,AB,A,2,stage.cleanup,1,0.001490136,0.001489692,0.13746246417999777
32,10,0,AB,A,2,stage.delivery,1,4.2612e-05,4.2319e-05,0.003930883170152298
32,10,0,AB,A,2,stage.leaf_distance,1,0.003533242,0.003532854,0.3259354527803259
32,10,0,AB,A,2,stage.node_plan,4,0.000102333,0.000101224,0.009440041947132148
32,10,0,AB,A,2,stage.node_prune,4,8.0444e-05,7.9324e-05,0.007420819622165857
32,10,0,AB,A,2,stage.output_alloc,1,5.026e-06,4.722e-06,0.00046363979191742824
32,10,0,AB,A,2,stage.pivot_distance,2,0.000107756,0.000107201,0.009940304301204616
32,10,0,AB,A,2,stage.pivot_sort,2,0.000206748,0.000205982,0.01907214478697661
32,10,0,AB,A,2,stage.result_sort,1,0.002831448,0.002831198,0.2611961722134935
32,10,0,AB,A,2,stage.schedule,10,0.000132578,0.000129896,0.0122300907944347
32,10,0,AB,A,2,stage.threshold,2,2.1439e-05,2.0891e-05,0.0019777106046394237
32,10,0,AB,A,3,stage.aggregate,1,1.6358e-05,1.6075e-05,0.0014630960016550393
32,10,0,AB,A,3,stage.alloc_init,1,0.002116699,0.002116226,0.18932227922773076
32,10,0,AB,A,3,stage.candidates,1,0.000157287,0.000157013,0.014068100061885079
32,10,0,AB,A,3,stage.cleanup,1,0.001549121,0.001548713,0.13855683709376793
32,10,0,AB,A,3,stage.delivery,1,4.2783e-05,4.2499e-05,0.0038266069347602113
32,10,0,AB,A,3,stage.leaf_distance,1,0.003540091,0.003539702,0.316633634160349
32,10,0,AB,A,3,stage.node_plan,4,0.000100872,9.9742e-05,0.009022216645002268
32,10,0,AB,A,3,stage.node_prune,4,8.0251e-05,7.9133e-05,0.007177828415993309
32,10,0,AB,A,3,stage.output_alloc,1,4.604e-06,4.315e-06,0.00041179202785302606
32,10,0,AB,A,3,stage.pivot_distance,2,0.000108537,0.000107819,0.009707791339505622
32,10,0,AB,A,3,stage.pivot_sort,2,0.000204899,0.00020427,0.018326623526293915
32,10,0,AB,A,3,stage.result_sort,1,0.003093624,0.003093202,0.27670062996846
32,10,0,AB,A,3,stage.schedule,10,0.00013008,0.000127424,0.01163464530476143
32,10,0,AB,A,3,stage.threshold,2,2.7058e-05,2.6517e-05,0.002420127864823453
32,10,0,AB,A,4,stage.aggregate,1,1.7284e-05,1.7004e-05,0.0015748040105203177
32,10,0,AB,A,4,stage.alloc_init,1,0.002117407,0.002116998,0.19292415155657222
32,10,0,AB,A,4,stage.candidates,1,0.000158572,0.000158284,0.014448034109941438
32,10,0,AB,A,4,stage.cleanup,1,0.001612832,0.001612549,0.1469506076079325
32,10,0,AB,A,4,stage.delivery,1,4.1012e-05,4.071e-05,0.003736742772475079
32,10,0,AB,A,4,stage.leaf_distance,1,0.003534875,0.003534497,0.3220744808312895
32,10,0,AB,A,4,stage.node_plan,4,0.000101989,0.000100838,0.009292564581633689
32,10,0,AB,A,4,stage.node_prune,4,7.9463e-05,7.8304e-05,0.007240144126821106
32,10,0,AB,A,4,stage.output_alloc,1,4.257e-06,3.98e-06,0.00038786974501186025
32,10,0,AB,A,4,stage.pivot_distance,2,0.00011008,0.000109529,0.010029763103336992
32,10,0,AB,A,4,stage.pivot_sort,2,0.000205659,0.000204928,0.018738290789145916
32,10,0,AB,A,4,stage.result_sort,1,0.002831997,0.002831756,0.2580328762659979
32,10,0,AB,A,4,stage.schedule,10,0.00013037,0.000127718,0.011878453995113041
32,10,0,AB,A,4,stage.threshold,2,2.1868e-05,2.1317e-05,0.0019924678374252667
32,10,0,AB,A,5,stage.aggregate,1,1.6226e-05,1.5956e-05,0.0014991931650244316
32,10,0,AB,A,5,stage.alloc_init,1,0.002118783,0.002118343,0.19576389694132626
32,10,0,AB,A,5,stage.candidates,1,0.000153829,0.000153543,0.014212953616574835
32,10,0,AB,A,5,stage.cleanup,1,0.00145912,0.001458689,0.1348146635615955
32,10,0,AB,A,5,stage.delivery,1,4.228e-05,4.1977e-05,0.003906439480909218
32,10,0,AB,A,5,stage.leaf_distance,1,0.003534186,0.003533817,0.3265393501248019
32,10,0,AB,A,5,stage.node_plan,4,0.000103034,0.000101885,0.009519774963954597
32,10,0,AB,A,5,stage.node_prune,4,8.0325e-05,7.9218e-05,0.007421588252224051
32,10,0,AB,A,5,stage.output_alloc,1,4.307e-06,4.004e-06,0.0003979431136299905
32,10,0,AB,A,5,stage.pivot_distance,2,0.0001099,0.000109352,0.010154155604350118
32,10,0,AB,A,5,stage.pivot_sort,2,0.000207694,0.00020694,0.019189783385713317
32,10,0,AB,A,5,stage.result_sort,1,0.002836287,0.002836003,0.2620573206241618
32,10,0,AB,A,5,stage.schedule,10,0.000128814,0.000126154,0.011901705186703877
32,10,0,AB,A,5,stage.threshold,2,2.0716e-05,2.0178e-05,0.0019140444722449232
32,10,0,AB,A,6,stage.aggregate,1,1.6991e-05,1.6709e-05,0.0015831733947110028
32,10,0,AB,A,6,stage.alloc_init,1,0.002102451,0.002102071,0.19590044652366206
32,10,0,AB,A,6,stage.candidates,1,0.000154792,0.000154499,0.01442308140274884
32,10,0,AB,A,6,stage.cleanup,1,0.001370763,0.001370301,0.12772382508706012
32,10,0,AB,A,6,stage.delivery,1,4.267e-05,4.2387e-05,0.003975870093126861
32,10,0,AB,A,6,stage.leaf_distance,1,0.003534344,0.003533964,0.32932019236987015
32,10,0,AB,A,6,stage.node_plan,4,0.000106909,0.000105601,0.009961478691963899
32,10,0,AB,A,6,stage.node_prune,4,7.9229e-05,7.8121e-05,0.007382334464690603
32,10,0,AB,A,6,stage.output_alloc,1,4.754e-06,4.456e-06,0.00044296429394715477
32,10,0,AB,A,6,stage.pivot_distance,2,0.000111191,0.000110627,0.010360463358914196
32,10,0,AB,A,6,stage.pivot_sort,2,0.000205437,0.000204833,0.019142039473206064
32,10,0,AB,A,6,stage.result_sort,1,0.002835304,0.002834875,0.2641856193701186
32,10,0,AB,A,6,stage.schedule,10,0.000136346,0.000133698,0.012704335217189475
32,10,0,AB,A,6,stage.threshold,2,2.2277e-05,2.1728e-05,0.002075707946205462
32,10,0,AB,A,7,stage.aggregate,1,1.637e-05,1.607e-05,0.0014140036983495631
32,10,0,AB,A,7,stage.alloc_init,1,0.00211683,0.002116421,0.18284700359055014
32,10,0,AB,A,7,stage.candidates,1,0.000155629,0.000155353,0.013442882197339289
32,10,0,AB,A,7,stage.cleanup,1,0.002016668,0.002016249,0.17419523581815619
32,10,0,AB,A,7,stage.delivery,1,4.2694e-05,4.2384e-05,0.0036878114781512673
32,10,0,AB,A,7,stage.leaf_distance,1,0.003536614,0.003536244,0.305484744999074
32,10,0,AB,A,7,stage.node_plan,4,0.000101307,0.000100146,0.00875067029130722
32,10,0,AB,A,7,stage.node_prune,4,8.0277e-05,7.9177e-05,0.006934146297642509
32,10,0,AB,A,7,stage.output_alloc,1,4.378e-06,4.073e-06,0.00037816177100637676
32,10,0,AB,A,7,stage.pivot_distance,2,0.00010782,0.000107267,0.009313248549544892
32,10,0,AB,A,7,stage.pivot_sort,2,0.000202158,0.000201583,0.01746195233054068
