q,radius,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,300,0,AB,A,7,stage.delivery,1,2.0903e-05,2.0622e-05,0.0018762842624065626
32,300,0,AB,A,7,stage.leaf_distance,1,0.000987851,0.000987408,0.08867096995180526
32,300,0,AB,A,7,stage.node_distance_prune,4,0.000341638,0.000340391,0.03066593325551611
32,300,0,AB,A,7,stage.schedule,10,0.000116944,0.000114273,0.010497066774284698
32,300,0,AB,B,0,stage.aggregate,1,7.6097e-05,7.5742e-05,0.029580216468861418
32,300,0,AB,B,0,stage.alloc_init,1,0.000657563,0.000657206,0.25560608015971614
32,300,0,AB,B,0,stage.candidates,1,8.6356e-05,8.6e-05,0.033568066722538294
32,300,0,AB,B,0,stage.cleanup,1,0.00027684,0.000276473,0.10761248311023555
32,300,0,AB,B,0,stage.delivery,1,2.2479e-05,2.2096e-05,0.008737975031913687
32,300,0,AB,B,0,stage.leaf_distance,1,0.000985877,0.000985548,0.38322739492584057
32,300,0,AB,B,0,stage.node_distance_prune,4,0.000335426,0.000333998,0.13038587183836828
32,300,0,AB,B,0,stage.schedule,10,0.000124452,0.000120945,0.04837663902627884
32,300,0,AB,B,1,stage.aggregate,1,7.62e-05,7.5831e-05,0.029489540694598654
32,300,0,AB,B,1,stage.alloc_init,1,0.000648229,0.000647859,0.2508658198808266
32,300,0,AB,B,1,stage.candidates,1,8.9977e-05,8.9616e-05,0.034821265132255946
32,300,0,AB,B,1,stage.cleanup,1,0.000273129,0.00027277,0.10570142730150965
32,300,0,AB,B,1,stage.delivery,1,2.1787e-05,2.1421e-05,0.008431609227207624
32,300,0,AB,B,1,stage.leaf_distance,1,0.000989038,0.000988695,0.3827595321457279
32,300,0,AB,B,1,stage.node_distance_prune,4,0.000342727,0.000341291,0.13263598180626918
32,300,0,AB,B,1,stage.schedule,10,0.000137924,0.000134519,0.05337684266091633
32,300,0,AB,B,2,stage.aggregate,1,7.635e-05,7.6015e-05,0.02925145021679022
32,300,0,AB,B,2,stage.alloc_init,1,0.000657283,0.000656934,0.2518203137241981
32,300,0,AB,B,2,stage.candidates,1,8.608e-05,8.5711e-05,0.03297923817500068
32,300,0,AB,B,2,stage.cleanup,1,0.00028202,0.000281653,0.10804838232009402
32,300,0,AB,B,2,stage.delivery,1,2.4971e-05,2.4609e-05,0.009566967431086686
32,300,0,AB,B,2,stage.leaf_distance,1,0.000998426,0.000997991,0.3825200842717615
32,300,0,AB,B,2,stage.node_distance_prune,4,0.000342543,0.000341138,0.13123614291565125
32,300,0,AB,B,2,stage.schedule,10,0.000138124,0.0001346,0.05291849783554593
32,300,0,AB,B,3,stage.aggregate,1,7.693e-05,7.6545e-05,0.029635136879046037
32,300,0,AB,B,3,stage.alloc_init,1,0.00065253,0.000652166,0.2513689830714144
32,300,0,AB,B,3,stage.candidates,1,8.4594e-05,8.422e-05,0.03258747912577695
32,300,0,AB,B,3,stage.cleanup,1,0.000273349,0.000272989,0.10530007839269927
32,300,0,AB,B,3,stage.delivery,1,2.5713e-05,2.5347e-05,0.009905216099972842
32,300,0,AB,B,3,stage.leaf_distance,1,0.000993199,0.000992882,0.3826022138714629
32,300,0,AB,B,3,stage.node_distance_prune,4,0.000347388,0.000346013,0.1338215381533608
32,300,0,AB,B,3,stage.schedule,10,0.000138141,0.000134654,0.053214967419840095
32,300,0,AB,B,4,stage.aggregate,1,7.5929e-05,7.5569e-05,0.029204281504826863
32,300,0,AB,B,4,stage.alloc_init,1,0.000654686,0.000654131,0.25180937772483614
32,300,0,AB,B,4,stage.candidates,1,8.8271e-05,8.7909e-05,0.03395133786448619
32,300,0,AB,B,4,stage.cleanup,1,0.000277891,0.000277531,0.10688415482434699
32,300,0,AB,B,4,stage.delivery,1,2.3522e-05,2.3152e-05,0.009047177093818403
32,300,0,AB,B,4,stage.leaf_distance,1,0.000991813,0.000991329,0.38147724916891895
32,300,0,AB,B,4,stage.node_distance_prune,4,0.000343,0.000341594,0.13192678102115943
32,300,0,AB,B,4,stage.schedule,10,0.000140898,0.000137423,0.05419306003591639
