variant,metric,unit,value
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st.sum,,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_texture.sum,,0
A,l1tex__t_output_wavefronts_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_atom.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_ld.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_redas.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_st.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,,798800
A,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,%,0.02
A,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,,4
A,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,%,0.00
A,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum,,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum,,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum,,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum,,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_texture.sum,,0
A,l1tex__t_requests_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_sector_pipe_lsu_mem_global_op_atom_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct,%,87.47
A,l1tex__t_sector_pipe_lsu_mem_global_op_red_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_lsu_mem_local_op_ld_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_lsu_mem_local_op_st_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_surface_op_atom_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_surface_op_ld_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_surface_op_red_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_surface_op_st_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_texture_op_tex_hit_rate.pct,%,0
A,l1tex__t_sectors.avg,sector,135332.71
A,l1tex__t_sectors.max,sector,25442549
A,l1tex__t_sectors.min,sector,0
A,l1tex__t_sectors.sum,sector,25442549
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_atom.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_atom_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_ld.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_ld_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_redas.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_redas_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_st.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_dshared_op_st_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_atom.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,25443651
A,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum,sector,22255703
A,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,sector,3187948
A,l1tex__t_sectors_pipe_lsu_mem_global_op_red.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum,sector,16
A,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,sector,16
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.avg.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.max.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.min.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.avg.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.max.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.min.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum.per_second,sector/s,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_atom.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_ld.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_red.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_st.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_texture.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_texture_lookup_hit.sum,sector,0
A,l1tex__t_sectors_pipe_tex_mem_texture_lookup_miss.sum,sector,0
A,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tex_writeback_active.max.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tex_writeback_active.min.pct_of_peak_sustained_elapsed,%,0
A,l1tex__tex_writeback_active.sum,cycle,0
